RCId,Cid,OrderTime,ScheduleTime,OrderStatus,score,id
2001,3108,2021-07-07 14:00:42.983724,"{'2021-07-08': ['12', '15']}",0,,8001
2001,3142,2021-07-30 11:18:36.026492,"{'2021-08-06': ['18', '20']}",0,,8002
2001,3100,2021-08-07 01:29:00.460854,"{'2021-08-12': ['18', '19']}",0,,8000
2002,3139,2021-07-20 06:27:39.445355,"{'2021-07-22': ['13', '14']}",0,,8003
2003,3138,2021-07-18 21:14:27.938409,"{'2021-07-19': ['15', '18']}",0,,8004
2004,3056,2021-07-14 17:33:54.279462,"{'2021-07-19': ['10', '13']}",0,,8008
2004,3025,2021-07-17 19:08:33.089895,"{'2021-07-21': ['14', '16']}",0,,8006
2004,3082,2021-07-24 20:31:47.631170,"{'2021-07-31': ['15', '16']}",0,,8005
2004,3008,2021-08-09 14:14:08.326215,"{'2021-08-16': ['12', '15']}",0,,8007
2005,3019,2021-07-01 00:18:16.580724,"{'2021-07-06': ['13', '14']}",0,,8009
2005,3020,2021-07-22 15:05:27.703780,"{'2021-07-27': ['13', '16']}",0,,8010
2005,3010,2021-08-13 04:01:59.383138,"{'2021-08-20': ['9', '12']}",0,,8011
2006,3145,2021-07-19 14:12:31.714459,"{'2021-07-20': ['11', '14']}",0,,8012
2006,3145,2021-07-27 03:06:24.794504,"{'2021-08-03': ['13', '14']}",0,,8014
2006,3111,2021-08-16 19:21:21.002754,"{'2021-08-18': ['15', '18']}",0,,8013
2007,3008,2021-08-05 11:04:41.222935,"{'2021-08-07': ['13', '16']}",0,,8015
2008,3140,2021-07-02 19:37:08.358850,"{'2021-07-08': ['9', '11']}",0,,8019
2008,3134,2021-07-03 07:53:37.611293,"{'2021-07-09': ['10', '13']}",0,,8016
2008,3060,2021-07-09 10:16:13.536758,"{'2021-07-11': ['13', '15']}",0,,8017
2008,3021,2021-08-02 19:18:05.357939,"{'2021-08-04': ['10', '13']}",0,,8018
2009,3120,2021-07-07 05:02:26.231208,"{'2021-07-12': ['12', '13']}",0,,8022
2009,3134,2021-07-07 07:33:51.400096,"{'2021-07-10': ['19', '22']}",0,,8020
2009,3050,2021-07-17 02:19:25.301994,"{'2021-07-22': ['15', '18']}",0,,8021
2010,3026,2021-07-09 06:43:09.077086,"{'2021-07-14': ['18', '20']}",0,,8023
2011,3146,2021-07-15 03:18:39.754424,"{'2021-07-22': ['9', '11']}",0,,8024
2011,3088,2021-08-19 08:38:51.701871,"{'2021-08-22': ['20', '22']}",0,,8025
2012,3023,2021-07-06 13:27:47.645932,"{'2021-07-10': ['19', '20']}",0,,8028
2012,3016,2021-07-24 16:46:08.800675,"{'2021-07-30': ['18', '20']}",0,,8029
2012,3125,2021-08-04 03:41:32.320115,"{'2021-08-06': ['12', '13']}",0,,8026
2012,3049,2021-08-10 09:47:10.818291,"{'2021-08-12': ['18', '20']}",0,,8030
2012,3041,2021-08-12 02:09:28.765232,"{'2021-08-18': ['17', '18']}",0,,8027
2013,3024,2021-08-04 20:10:41.561166,"{'2021-08-10': ['17', '19']}",0,,8032
2013,3122,2021-08-18 06:07:09.959310,"{'2021-08-22': ['10', '13']}",0,,8031
2014,3099,2021-07-26 03:49:18.992533,"{'2021-07-30': ['13', '14']}",0,,8035
2014,3144,2021-08-11 03:22:23.771417,"{'2021-08-14': ['17', '19']}",0,,8034
2014,3048,2021-08-13 18:41:39.339214,"{'2021-08-17': ['18', '19']}",0,,8033
2015,3132,2021-07-22 18:32:44.488722,"{'2021-07-27': ['16', '18']}",0,,8040
2015,3089,2021-07-28 12:46:17.204574,"{'2021-07-29': ['16', '17']}",0,,8036
2015,3131,2021-08-09 14:46:27.960102,"{'2021-08-12': ['13', '15']}",0,,8038
2015,3044,2021-08-17 15:10:01.434608,"{'2021-08-20': ['18', '20']}",0,,8039
2015,3093,2021-08-18 16:00:50.380909,"{'2021-08-25': ['16', '18']}",0,,8037
2016,3114,2021-07-15 04:49:43.894606,"{'2021-07-20': ['18', '19']}",0,,8041
2017,3037,2021-07-14 07:52:23.061281,"{'2021-07-19': ['15', '17']}",0,,8042
2017,3146,2021-08-06 18:21:33.402489,"{'2021-08-10': ['12', '13']}",0,,8043
2017,3076,2021-08-13 17:48:33.244139,"{'2021-08-15': ['10', '13']}",0,,8044
2018,3052,2021-07-10 21:25:13.822362,"{'2021-07-16': ['18', '19']}",0,,8046
2018,3119,2021-07-27 07:56:14.270824,"{'2021-07-31': ['16', '18']}",0,,8045
2019,3096,2021-07-05 12:01:50.664774,"{'2021-07-08': ['14', '16']}",0,,8049
2019,3056,2021-08-14 14:53:16.503849,"{'2021-08-19': ['10', '13']}",0,,8047
2019,3003,2021-08-15 23:09:59.747973,"{'2021-08-20': ['13', '16']}",0,,8048
2020,3091,2021-07-07 07:52:37.959724,"{'2021-07-14': ['14', '15']}",0,,8050
2020,3146,2021-07-24 10:47:41.525983,"{'2021-07-25': ['9', '12']}",0,,8052
2020,3050,2021-08-17 14:13:41.717719,"{'2021-08-20': ['11', '13']}",0,,8051
2021,3074,2021-07-01 22:41:36.520114,"{'2021-07-06': ['10', '12']}",0,,8053
2022,3106,2021-07-08 08:41:39.994706,"{'2021-07-12': ['17', '18']}",0,,8055
2022,3039,2021-07-25 07:59:05.141120,"{'2021-07-31': ['13', '14']}",0,,8056
2022,3008,2021-07-26 18:26:24.798381,"{'2021-08-01': ['17', '20']}",0,,8057
2022,3152,2021-07-31 19:51:45.719402,"{'2021-08-03': ['22', '23']}",0,,8054
2023,3033,2021-07-27 21:26:27.077919,"{'2021-08-02': ['20', '21']}",0,,8058
2024,3053,2021-07-18 04:25:25.311250,"{'2021-07-24': ['10', '13']}",0,,8059
2024,3141,2021-07-19 10:29:18.556238,"{'2021-07-23': ['12', '13']}",0,,8060
2025,3139,2021-07-21 03:55:28.574402,"{'2021-07-27': ['16', '17']}",0,,8061
2026,3026,2021-07-01 08:42:22.531152,"{'2021-07-07': ['11', '12']}",0,,8063
2026,3053,2021-07-24 02:33:20.258589,"{'2021-07-27': ['15', '18']}",0,,8064
2026,3094,2021-08-10 01:25:21.327510,"{'2021-08-14': ['11', '14']}",0,,8062
2027,3149,2021-07-16 16:43:04.990599,"{'2021-07-17': ['22', '23']}",0,,8065
2028,3086,2021-07-03 17:55:01.525267,"{'2021-07-04': ['17', '18']}",0,,8066
2029,3005,2021-07-24 01:26:44.259997,"{'2021-07-26': ['17', '18']}",0,,8069
